,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
162,Artavis Pierce,CHI,RB,0.9,3.9,0.0,0.9,6.1,0.0,0.0,0.0,0.0,0,0.0,0.0
163,Adrian Killins Jr.,PHI,RB,0.9,3.9,0.0,0.9,6.1,0.0,0.0,0.0,0.0,0,0.0,0.0
164,Jason Huntley,PHI,RB,0.9,3.9,0.0,0.9,6.1,0.0,0.0,0.0,0.0,0,0.0,0.0
165,Austin Walter,NYJ,RB,0.9,3.6,0.0,0.9,6.3,0.0,0.0,0.0,0.0,0,0.0,0.0
166,LeVante Bellamy,DEN,RB,1.0,4.4,0.0,0.9,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0
167,Nathan Cottrell,JAC,RB,0.9,3.6,0.0,0.9,6.2,0.0,0.0,0.0,0.0,0,0.0,0.0
168,Damarea Crockett,DEN,RB,1.0,4.2,0.0,0.9,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0
169,Scottie Phillips,HOU,RB,0.8,3.5,0.0,0.9,6.1,0.0,0.0,0.0,0.0,0,0.0,0.0
170,Jason Cabinda,DET,RB,0.8,3.5,0.0,1.0,6.1,0.0,0.0,0.0,0.0,0,0.0,0.0
171,Jordan Scarlett,MIA,RB,0.9,3.9,0.0,0.9,5.3,0.0,0.0,0.0,0.0,0,0.0,0.0
172,Taquan Mizzell,NYG,RB,0.9,3.7,0.0,0.9,5.4,0.0,0.0,0.0,0.0,0,0.0,0.0
173,Cullen Gillaspia,NYG,RB,0.9,3.7,0.0,0.9,5.2,0.0,0.0,0.0,0.0,0,0.0,0.0
174,Alfred Morris,NYG,RB,0.9,3.5,0.0,0.9,5.2,0.0,0.0,0.0,0.0,0,0.0,0.0
175,Tony Jones Jr.,NO,RB,0.9,0.7,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0,0.0,0.0
176,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
177,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Tyreek Hill,KC,WR,12.9,82.1,0.8,100.4,"1,438.8",12.2,0.7,0.0,0.0,0,0.0,0.0
2,Davante Adams,GB,WR,0.0,0.0,0.0,122.7,"1,463.9",12.7,0.8,0.0,0.0,0,0.0,0.0
3,Stefon Diggs,BUF,WR,2.4,15.5,0.1,113.4,"1,477.0",9.2,1.2,0.0,0.0,0,0.0,0.0
4,Calvin Ridley,ATL,WR,4.8,26.3,0.1,99.8,"1,421.7",8.8,0.8,0.0,0.0,0,0.0,0.0
5,DeAndre Hopkins,ARI,WR,0.9,4.4,0.0,122.1,"1,468.4",7.6,1.5,0.0,0.0,0,0.0,0.0
6,D.K. Metcalf,SEA,WR,0.3,1.3,0.0,86.7,"1,301.3",9.9,1.4,0.0,0.0,0,0.0,0.0
7,Justin Jefferson,MIN,WR,0.4,1.5,0.0,93.6,"1,393.9",7.9,0.8,0.0,0.0,0,0.0,0.0
8,A.J. Brown,TEN,WR,0.5,7.5,0.0,84.5,"1,267.2",9.8,0.9,0.0,0.0,0,0.0,0.0
9,Keenan Allen,LAC,WR,3.0,16.3,0.1,111.3,"1,209.1",7.9,1.0,0.0,0.0,0,0.0,0.0
10,Amari Cooper,DAL,WR,2.6,11.8,0.0,92.4,"1,220.9",7.4,0.8,0.0,0.0,0,0.0,0.0
11,Mike Evans,TB,WR,0.0,0.0,0.0,76.2,"1,115.0",9.3,0.7,0.0,0.0,0,0.0,0.0
12,Terry McLaurin,WAS,WR,1.8,12.1,0.1,91.3,"1,232.2",6.5,0.7,0.0,0.0,0,0.0,0.0
13,Allen Robinson II,CHI,WR,0.3,0.3,0.0,98.5,"1,219.8",6.9,0.7,0.0,0.0,0,0.0,0.0
14,Robert Woods,LAR,WR,17.0,106.1,0.9,98.1,"1,088.4",6.0,0.8,0.0,0.0,0,0.0,0.0
15,Adam Thielen,MIN,WR,3.2,14.5,0.3,79.7,"1,022.8",9.1,0.7,0.0,0.0,0,0.0,0.0
16,CeeDee Lamb,DAL,WR,8.5,61.4,0.6,83.8,"1,088.8",6.6,0.8,0.0,0.0,0,0.0,0.0
17,Tyler Lockett,SEA,WR,1.6,5.7,0.0,92.5,"1,051.7",8.3,0.7,0.0,0.0,0,0.0,0.0
18,Julio Jones,TEN,WR,0.5,-0.5,0.0,78.7,"1,114.2",7.3,0.7,0.0,0.0,0,0.0,0.0
19,D.J. Moore,CAR,WR,3.1,20.1,0.1,83.1,"1,197.6",5.4,0.8,0.0,0.0,0,0.0,0.0
20,Cooper Kupp,LAR,WR,3.9,23.6,0.1,93.0,"1,068.8",7.1,0.7,0.0,0.0,0,0.0,0.0
21,Chris Godwin,TB,WR,0.3,2.0,0.0,82.2,"1,069.0",7.4,0.8,0.0,0.0,0,0.0,0.0
22,Odell Beckham Jr.,CLE,WR,5.7,50.9,0.3,71.8,"1,006.0",6.6,0.7,0.0,0.0,0,0.0,0.0
23,Tee Higgins,CIN,WR,2.3,12.3,0.0,79.3,"1,059.5",6.6,0.8,0.0,0.0,0,0.0,0.0
24,Courtland Sutton,DEN,WR,1.7,9.4,0.0,74.3,"1,055.2",6.7,0.8,0.0,0.0,0,0.0,0.0
25,Kenny Golladay,NYG,WR,0.0,0.0,0.0,71.1,"1,055.6",6.7,0.7,0.0,0.0,0,0.0,0.0
26,Ja'Marr Chase,CIN,WR,1.5,8.2,0.0,73.4,"1,060.7",6.1,1.2,0.0,0.0,0,0.0,0.0
27,Brandon Aiyuk,SF,WR,14.6,82.4,0.7,72.4,921.6,6.3,0.7,0.0,0.0,0,0.0,0.0
28,D.J. Chark Jr.,JAC,WR,0.3,3.3,0.0,75.3,"1,006.3",6.4,0.6,0.0,0.0,0,0.0,0.0
29,Chase Claypool,PIT,WR,8.3,44.0,0.6,69.9,895.8,6.9,0.9,0.0,0.0,0,0.0,0.0
30,Diontae Johnson,PIT,WR,4.4,27.2,0.1,94.2,984.9,6.4,1.4,0.0,0.0,0,0.0,0.0
31,Brandin Cooks,HOU,WR,0.8,6.8,0.0,75.1,"1,052.2",5.3,0.7,0.0,0.0,0,0.0,0.0
32,Deebo Samuel,SF,WR,13.5,99.2,0.7,70.7,905.3,4.7,0.8,0.0,0.0,0,0.0,0.0
